replicate	time	treatment	wak	cho	tre	fle	bas	leo	ber	her
rep1	14	7.5.C	0.122850123	0.198529412	0.157894737	0.201492537	0.141538462	0.115492958	0.114634146	0.149295775
rep2	14	7.5.C	0.136986301	0.224657534	0.156462585	0.112179487	0.138790036	0.15755627	0.134680135	0.224561404
rep3	14	7.5.C	0.169270833	0.359832636	0.269230769	0.147308782	0.122977346	0.111111111	0.152892562	0.191780822
rep4	14	7.5.C	0.119047619	0.454901961	0.220512821	0.157480315	0.116838488	0.14516129	0.118971061	0.115131579
rep5	14	7.5.C	0.108753316	0.261146497	0.178988327	0.201257862	0.105263158	0.156424581	0.118959108	0.069078947
rep6	14	7.5.C	0.128133705	0.334437086	0.149779736	0.116147309	0.164658635	0.141762452	0.110119048	0.16066482
rep7	14	7.5.C	0.171686747	0.268774704	0.122807018	0.115044248	0.178082192	0.103448276	0.1171875	0.149295775
rep8	14	7.5.C	0.112860892	0.291291291	0.219081272	0.137254902	0.156794425	0.211320755	0.126984127	0.132394366
rep9	14	7.5.C	0.147368421	0.337606838	0.175324675	0.139393939	0.216606498	0.117816092	0.12962963	0.13368984
rep10	14	7.5.C	0.133333333	0.37109375	0.230769231	0.168831169	0.129770992	0.189830508	0.149206349	0.099273608
rep1	14	10.C	0.163009404	0.280701754	0.150537634	0.158783784	0.15503876	0.227118644	0.126153846	0.180851064
rep2	14	10.C	0.107142857	0.38245614	0.144628099	0.115384615	0.125	0.148351648	0.126721763	0.130790191
rep3	14	10.C	0.139037433	0.424124514	0.16872428	0.127272727	0.145669291	0.127090301	0.155080214	0.137313433
rep4	14	10.C	0.169054441	0.313333333	0.218430034	0.139372822	0.083333333	0.120437956	0.134375	0.151515152
rep5	14	10.C	0.098092643	0.331125828	0.215328467	0.164319249	0.125954198	0.136111111	0.161073826	0.146103896
rep6	14	10.C	0.072164948	0.320334262	0.231578947	0.143769968	0.156118143	0.115273775	0.100795756	0.139455782
rep7	14	10.C	0.170418006	0.348920863	0.168965517	0.119873817	0.197411003	0.157407407	0.153225806	0.128
rep8	14	10.C	0.14379085	0.338129496	0.157894737	0.108196721	0.097972973	0.133333333	0.105381166	0.175862069
rep9	14	10.C	0.083056478	0.237458194	0.184397163	0.150887574	0.156133829	0.144021739	0.097560976	0.14556962
rep10	14	10.C	0.094182825	0.226351351	0.175572519	0.126245847	0.166037736	0.237903226	0.158054711	0.125
rep1	14	dark	0.132596685	0.287162162	0.197580645	0.154929577	0.163636364	0.21257485	0.125	0.198879552
rep2	14	dark	0.103092784	0.222222222	0.210332103	0.112244898	0.092664093	0.125	0.146031746	0.168965517
rep3	14	dark	0.158227848	0.33974359	0.16091954	0.144475921	0.139622642	0.12755102	0.094594595	0.180981595
rep4	14	dark	0.16954023	0.393442623	0.172839506	0.106060606	0.120274914	0.16828479	0.11878453	0.12716763
rep5	14	dark	0.208469055	0.362229102	0.213636364	0.131274131	0.113402062	0.086142322	0.121301775	0.147308782
rep6	14	dark	0.091160221	0.263157895	0.356481481	0.097421203	0.133064516	0.11	0.180981595	0.200668896
rep7	14	dark	0.152694611	0.327014218	0.198275862	0.189701897	0.190647482	0.161643836	0.050746269	0.198630137
rep8	14	dark	0.104121475	0.410646388	0.179104478	0.117391304	0.091176471	0.131687243	0.136627907	0.159235669
rep9	14	dark	0.14986376	0.414529915	0.1375	0.102941176	0.162790698	0.110192837	0.083102493	0.12972973
rep10	14	dark	0.146627566	0.247311828	0.210300429	0.148809524	0.080906149	0.081920904	0.086206897	0.136111111
rep1	28	-2.5.C	0.053030303	0.11550152	0.151851852	0.120689655	0.080838323	0.088319088	0.119565217	0.137380192
rep2	28	-2.5.C	0.078431373	0.15902965	0.139130435	0.12979351	0.086642599	0.116991643	0.130193906	0.119205298
rep3	28	-2.5.C	0.057220708	0.182835821	0.120141343	0.159292035	0.077170418	0.077994429	0.127596439	0.115942029
rep4	28	-2.5.C	0.063829787	0.198380567	0.188284519	0.090909091	0.145454545	0.095607235	0.105820106	0.106583072
rep5	28	-2.5.C	0.066066066	0.155737705	0.142361111	0.129032258	0.107142857	0.145695364	0.113268608	0.134275618
rep6	28	-2.5.C	0.050793651	0.139442231	0.135021097	0.114906832	0.132142857	0.130699088	0.088772846	0.09771987
rep7	28	-2.5.C	0.057877814	0.145251397	0.104529617	0.105515588	0.129166667	0.099056604	0.092814371	0.170212766
rep8	28	-2.5.C	0.075987842	0.124260355	0.212669683	0.162420382	0.097859327	0.106442577	0.009365559	0.130813953
rep9	28	-2.5.C	0.073490814	0.206349206	0.176029963	0.107462687	0.092741935	0.116541353	0.096209913	0.115273775
rep10	28	-2.5.C	0.059322034	0.116182573	0.132492114	0.140077821	0.111111111	0.131818182	0.112716763	0.128526646
rep1	28	0.C	0.089622642	0.164794007	0.22745098	0.140939597	0.068085106	0.182089552	0.173529412	0.093975904
rep2	28	0.C	0.052941176	0.194690265	0.157024793	0.132492114	0.117857143	0.166064982	0.121212121	0.141752577
rep3	28	0.C	0.066914498	0.137931034	0.28685259	0.145454545	0.172161172	0.197530864	0.150641026	0.122762148
rep4	28	0.C	0.086253369	0.140625	0.140893471	0.092105263	0.103004292	0.124277457	0.142857143	0.101910828
rep5	28	0.C	0.091370558	0.1875	0.229007634	0.149152542	0.16	0.183266932	0.182481752	0.139880952
rep6	28	0.C	0.068493151	0.177777778	0.227074236	0.165644172	0.124	0.20233463	0.142076503	0.1640625
rep7	28	0.C	0.054285714	0.196551724	0.117241379	0.087431694	0.14559387	0.134556575	0.13832853	0.081460674
rep8	28	0.C	0.096491228	0.225925926	0.107407407	0.134453782	0.118811881	0.197628458	0.175644028	0.120320856
rep9	28	0.C	0.0775	0.211221122	0.194915254	0.127586207	0.136054422	0.158490566	0.148148148	0.170289855
rep10	28	0.C	0.06514658	0.180811808	0.192468619	0.159090909	0.132	0.108433735	0.174174174	0.159183673
rep1	28	2.5.C	0.116704805	0.324590164	0.269230769	0.151006711	0.16017316	0.239726027	0.194444444	0.156666667
rep2	28	2.5.C	0.141772152	0.263537906	0.322709163	0.148	0.292592593	0.275568182	0.227758007	0.145251397
rep3	28	2.5.C	0.123167155	0.263013699	0.280769231	0.150159744	0.162939297	0.184986595	0.178125	0.18487395
rep4	28	2.5.C	0.086705202	0.304878049	0.217213115	0.135693215	0.186379928	0.281653747	0.093663912	0.16442953
rep5	28	2.5.C	0.144772118	0.276752768	0.239285714	0.102777778	0.213675214	0.272980501	0.135057471	0.112244898
rep6	28	2.5.C	0.101226994	0.203703704	0.214532872	0.138888889	0.212669683	0.234693878	0.151351351	0.162162162
rep7	28	2.5.C	0.128329298	0.279605263	0.245791246	0.066176471	0.229508197	0.266666667	0.192419825	0.181818182
rep8	28	2.5.C	0.112094395	0.287735849	0.25462963	0.157746479	0.221719457	0.244444444	0.181571816	0.145299145
rep9	28	2.5.C	0.092948718	0.368078176	0.297959184	0.166666667	0.115068493	0.210084034	0.21574344	0.214285714
rep10	28	2.5.C	0.148648649	0.328063241	0.260162602	0.175066313	0.197026022	0.257961783	0.161993769	0.207627119
rep1	28	5.C	0.204081633	0.387323944	0.298076923	0.128712871	0.33125	0.206790123	0.201995012	0.360465116
rep2	28	5.C	0.127035831	0.202453988	0.416058394	0.193939394	0.174041298	0.235087719	0.143258427	0.141025641
rep3	28	5.C	0.117647059	0.496644295	0.217228464	0.15625	0.18815331	0.241134752	0.216027875	0.163380282
rep4	28	5.C	0.095607235	0.306962025	0.29558011	0.122257053	0.195906433	0.287749288	0.193029491	0.180602007
rep5	28	5.C	0.102564103	0.369426752	0.3	0.22311828	0.248091603	0.3125	0.156923077	0.195530726
rep6	28	5.C	0.170087977	0.286206897	0.295180723	0.2	0.194805195	0.215568862	0.133126935	0.180887372
rep7	28	5.C	0.120192308	0.268551237	0.463768116	0.15	0.181506849	0.25170068	0.145772595	0.201780415
rep8	28	5.C	0.167192429	0.296407186	0.133587786	0.175202156	0.151079137	0.34751773	0.164619165	0.16
rep9	28	5.C	0.05655527	0.411290323	0.302521008	0.183333333	0.136546185	0.26953125	0.128712871	0.171428571
rep10	28	5.C	0.078369906	0.470833333	0.34965035	0.173913043	0.165079365	0.184782609	0.220447284	0.160550459
rep1	28	7.5.C	0.069767442	0.32807571	0.268211921	0.212307692	0.153333333	0.243137255	0.104225352	0.183745583
rep2	28	7.5.C	0.152849741	0.310231023	0.263392857	0.112179487	0.164912281	0.278787879	0.173652695	0.162534435
rep3	28	7.5.C	0.194986072	0.377862595	0.5	0.169550173	0.165467626	0.247311828	0.211726384	0.238341969
rep4	28	7.5.C	0.143229167	0.390243902	0.341365462	0.186851211	0.111821086	0.395833333	0.33033033	0.255474453
rep5	28	7.5.C	0.147692308	0.224913495	0.256666667	0.216066482	0.212624585	0.189710611	0.202380952	0.188365651
rep6	28	7.5.C	0.19112628	0.46122449	0.216535433	0.158163265	0.157480315	0.211678832	0.162534435	0.135770235
rep7	28	7.5.C	0.098461538	0.366037736	0.324414716	0.156914894	0.101522843	0.31511254	0.152737752	0.158536585
rep8	28	7.5.C	0.109489051	0.429003021	0.259259259	0.182857143	0.119883041	0.328767123	0.184210526	0.266475645
rep9	28	7.5.C	0.173789174	0.264880952	0.235059761	0.144171779	0.140468227	0.284237726	0.138107417	0.112068966
rep10	28	7.5.C	0.154450262	0.326860841	0.337016575	0.198019802	0.12601626	0.310580205	0.248407643	0.217261905
rep1	28	10.C	0.078740157	0.320930233	0.350482315	0.115591398	0.163398693	0.228476821	0.179836512	0.129682997
rep2	28	10.C	0.132978723	0.268085106	0.249070632	0.117647059	0.14057508	0.336633663	0.184415584	0.200520833
rep3	28	10.C	0.133171913	0.290456432	0.326797386	0.148288973	0.140625	0.407514451	0.182389937	0.162162162
rep4	28	10.C	0.13740458	0.292134831	0.246268657	0.12565445	0.303249097	0.237735849	0.130081301	0.191666667
rep5	28	10.C	0.131513648	0.31147541	0.329896907	0.098181818	0.145748988	0.261538462	0.162162162	1
rep6	28	10.C	0.208333333	0.289256198	0.37804878	0.157894737	0.186567164	0.262135922	0.148997135	0.192982456
rep7	28	10.C	0.204678363	0.348837209	0.383233533	0.229090909	0.1	0.17032967	0.149206349	0.221428571
rep8	28	10.C	0.120786517	0.356557377	0.287234043	0.12345679	0.139442231	0.135770235	0.16066482	0.15
rep9	28	10.C	0.130208333	0.200729927	0.295698925	0.126721763	0.10443038	0.255882353	0.155080214	0.117801047
rep10	28	10.C	0.140625	0.309623431	0.303964758	0.135501355	0.271428571	0.158436214	0.132596685	0.194070081
rep1	28	dark	0.126315789	0.273764259	0.406639004	0.135231317	0.257142857	0.294354839	0.220207254	0.283828383
rep2	28	dark	0.161473088	0.266211604	0.446153846	0.219178082	0.278810409	0.181818182	0.125806452	0.222570533
rep3	28	dark	0.105590062	0.322175732	0.288659794	0.157509158	0.211764706	0.265060241	0.185483871	0.165662651
rep4	28	dark	0.098876404	0.302941176	0.351449275	0.241830065	0.179878049	0.196875	0.166226913	0.134502924
rep5	28	dark	0.164086687	0.667808219	0.383561644	0.154109589	0.186885246	0.262626263	0.17877095	0.186046512
rep6	28	dark	0.195402299	0.410569106	0.379310345	0.18125	0.210332103	0.231023102	0.197826087	0.21037464
rep7	28	dark	0.158054711	0.277777778	0.244147157	0.178694158	0.127035831	0.180555556	0.152354571	0.158878505
rep8	28	dark	0.110062893	0.355871886	0.375	0.162162162	0.118902439	0.342931937	0.151785714	0.177897574
rep9	28	dark	0.093023256	0.262411348	0.356521739	0.287610619	0.195918367	0.198170732	0.122093023	0.158371041
rep10	28	dark	0.188679245	0.406896552	0.342222222	0.176470588	0.23465704	0.25	0.087463557	0.299382716
rep1	42	-2.5.C	0.065714286	0.188191882	0.08583691	0.125	0.15916955	0.119205298	0.108262108	0.138513514
rep2	42	-2.5.C	0.095238095	0.22983871	0.135036496	0.09375	0.139705882	0.153846154	0.114035088	0.137931034
rep3	42	-2.5.C	0.082706767	0.229032258	0.16254417	0.142857143	0.130909091	0.144404332	0.125348189	0.114441417
rep4	42	-2.5.C	0.047058824	0.182835821	0.151202749	0.100515464	0.088235294	0.108635097	0.124610592	0.110294118
rep5	42	-2.5.C	0.062330623	0.134831461	0.142335766	0.12012012	0.149501661	0.11746988	0.108695652	0.148148148
rep6	42	-2.5.C	0.097484277	0.231660232	0.175257732	0.104575163	0.167938931	0.116104869	0.115384615	0.07523511
rep7	42	-2.5.C	0.09375	0.134110787	0.229268293	0.147410359	0.154471545	0.078431373	0.113496933	0.157718121
rep8	42	-2.5.C	0.061889251	0.114695341	0.165938865	0.141210375	0.171003717	0.133550489	0.130681818	0.118902439
