rep	time	treatment	embryo	endosperm	ratio
rep5	42	7.5C	0.58	2.98	0.19
rep6	42	7.5C	0.61	3.62	0.17
rep7	42	7.5C	0.46	3.17	0.15
rep8	42	7.5C	0.72	3.20	0.23
rep9	42	7.5C	0.58	3.18	0.18
rep10	42	7.5C	0.68	3.55	0.19
rep1	42	10C	0.45	3.77	0.12
rep2	42	10C	0.57	3.51	0.16
rep3	42	10C	0.32	3.01	0.11
rep4	42	10C	0.49	3.58	0.14
rep5	42	10C	0.42	3.19	0.13
rep6	42	10C	0.82	3.52	0.23
rep7	42	10C	0.71	3.52	0.20
rep8	42	10C	0.37	3.17	0.12
rep9	42	10C	0.61	3.65	0.17
rep10	42	10C	0.55	2.99	0.18
rep1	42	dark	1.04	3.43	0.30
rep2	42	dark	0.89	3.68	0.24
rep3	42	dark	0.45	3.53	0.13
rep4	42	dark	0.85	3.43	0.25
rep5	42	dark	0.60	3.87	0.16
rep6	42	dark	1.27	3.64	0.35
rep7	42	dark	0.72	3.40	0.21
rep8	42	dark	1.11	3.31	0.34
rep9	42	dark	0.78	3.78	0.21
rep10	42	dark	0.80	3.55	0.23
rep1	56	m-2.5C	0.45	2.95	0.15
rep2	56	m-2.5C	0.42	3.23	0.13
rep3	56	m-2.5C	0.33	3.22	0.10
rep4	56	m-2.5C	0.33	3.01	0.11
rep5	56	m-2.5C	0.41	3.34	0.12
rep6	56	m-2.5C	0.35	3.49	0.10
rep7	56	m-2.5C	0.39	3.24	0.12
rep8	56	m-2.5C	0.31	2.55	0.12
rep9	56	m-2.5C	0.50	3.33	0.15
rep10	56	m-2.5C	0.33	3.10	0.11
rep1	56	0C	0.95	3.56	0.27
rep2	56	0C	1.12	3.02	0.37
rep3	56	0C	1.65	3.03	0.54
rep4	56	0C	1.23	2.87	0.43
rep5	56	0C	1.46	3.86	0.38
rep6	56	0C	0.81	3.33	0.24
rep7	56	0C	0.99	3.33	0.30
rep8	56	0C	1.29	3.75	0.34
rep9	56	0C	0.92	3.71	0.25
rep10	56	0C	1.02	3.56	0.29
rep1	56	2.5C	0.76	3.79	0.20
rep2	56	2.5C	1.16	3.25	0.36
rep3	56	2.5C	0.81	3.72	0.22
rep4	56	2.5C	1.32	3.62	0.36
rep5	56	2.5C	0.94	3.10	0.30
rep6	56	2.5C	0.72	3.61	0.20
rep7	56	2.5C	1.18	4.23	0.28
rep8	56	2.5C	1.46	3.81	0.38
rep9	56	2.5C	1.29	3.38	0.38
rep10	56	2.5C	1.04	3.37	0.31
rep1	56	5C	1.68	3.21	0.52
rep2	56	5C	1.11	3.31	0.34
rep3	56	5C	1.41	3.62	0.39
rep4	56	5C	1.32	3.19	0.41
rep5	56	5C	1.26	3.17	0.40
rep6	56	5C	1.46	3.64	0.40
rep7	56	5C	1.13	3.75	0.30
rep8	56	5C	0.86	3.23	0.27
rep9	56	5C	1.81	3.02	0.60
rep10	56	5C	1.64	3.77	0.44
rep1	56	7.5C	0.63	3.40	0.19
rep2	56	7.5C	0.63	3.35	0.19
rep3	56	7.5C	0.85	2.98	0.29
rep4	56	7.5C	0.62	2.60	0.24
rep5	56	7.5C	0.70	3.05	0.23
rep6	56	7.5C	1.03	3.09	0.33
rep7	56	7.5C	0.57	3.27	0.17
rep8	56	7.5C	0.72	3.05	0.24
rep9	56	7.5C	0.53	3.14	0.17
rep10	56	7.5C	1.18	4.56	0.26
rep1	56	10C	0.66	3.54	0.19
rep2	56	10C	0.74	3.33	0.22
rep3	56	10C	0.87	3.39	0.26
rep4	56	10C	1.13	3.96	0.29
rep5	56	10C	1.07	3.39	0.32
rep6	56	10C	0.94	3.41	0.28
rep7	56	10C	0.74	3.52	0.21
rep8	56	10C	0.67	3.26	0.21
rep9	56	10C	0.86	3.48	0.25
rep10	56	10C	0.72	3.65	0.20
rep1	56	dark	1.30	3.67	0.35
rep2	56	dark	1.02	2.67	0.38
rep3	56	dark	1.33	3.93	0.34
rep4	56	dark	1.07	2.99	0.36
rep5	56	dark	1.10	3.49	0.32
rep6	56	dark	0.94	3.20	0.29
