rep	time	treatment	embryo	endosperm	ratio
rep4	28	7.5C	0.55	3.84	0.143229167
rep5	28	7.5C	0.48	3.25	0.147692308
rep6	28	7.5C	0.56	2.93	0.19112628
rep7	28	7.5C	0.32	3.25	0.098461538
rep8	28	7.5C	0.3	2.74	0.109489051
rep9	28	7.5C	0.61	3.51	0.173789174
rep10	28	7.5C	0.59	3.82	0.154450262
rep1	28	10C	0.3	3.81	0.078740157
rep2	28	10C	0.5	3.76	0.132978723
rep3	28	10C	0.55	4.13	0.133171913
rep4	28	10C	0.54	3.93	0.13740458
rep5	28	10C	0.53	4.03	0.131513648
rep6	28	10C	0.85	4.08	0.208333333
rep7	28	10C	0.7	3.42	0.204678363
rep8	28	10C	0.43	3.56	0.120786517
rep9	28	10C	0.5	3.84	0.130208333
rep10	28	10C	0.54	3.84	0.140625
rep1	28	dark	0.36	2.85	0.126315789
rep2	28	dark	0.57	3.53	0.161473088
rep3	28	dark	0.34	3.22	0.105590062
rep4	28	dark	0.44	4.45	0.098876404
rep5	28	dark	0.53	3.23	0.164086687
rep6	28	dark	0.68	3.48	0.195402299
rep7	28	dark	0.52	3.29	0.158054711
rep8	28	dark	0.35	3.18	0.110062893
rep9	28	dark	0.36	3.87	0.093023256
rep10	28	dark	0.7	3.71	0.188679245
rep1	42	m2.5C	0.23	3.5	0.065714286
rep2	42	m2.5C	0.38	3.99	0.095238095
rep3	42	m2.5C	0.33	3.99	0.082706767
rep4	42	m2.5C	0.16	3.4	0.047058824
rep5	42	m2.5C	0.23	3.69	0.062330623
rep6	42	m2.5C	0.31	3.18	0.097484277
rep7	42	m2.5C	0.39	4.16	0.09375
rep8	42	m2.5C	0.19	3.07	0.061889251
rep9	42	m2.5C	0.15	3.32	0.045180723
rep10	42	m2.5C	0.47	3.13	0.150159744
rep1	42	0C	0.37	3.59	0.103064067
rep2	42	0C	0.28	3.05	0.091803279
rep3	42	0C	0.24	3.04	0.078947368
rep4	42	0C	0.31	2.88	0.107638889
rep5	42	0C	0.31	3.25	0.095384615
rep6	42	0C	0.21	4.18	0.050239234
rep7	42	0C	0.3	3.69	0.081300813
rep8	42	0C	0.36	3.46	0.104046243
rep9	42	0C	0.25	2.51	0.099601594
rep10	42	0C	0.34	3.57	0.095238095
rep1	42	2.5C	0.55	3.29	0.167173252
rep2	42	2.5C	0.51	3.37	0.151335312
rep3	42	2.5C	0.44	3.33	0.132132132
rep4	42	2.5C	0.55	4.2	0.130952381
rep5	42	2.5C	0.71	3.71	0.191374663
rep6	42	2.5C	0.75	4.65	0.161290323
rep7	42	2.5C	1.03	3.51	0.293447293
rep8	42	2.5C	0.74	3.27	0.226299694
rep9	42	2.5C	0.92	3.39	0.271386431
rep10	42	2.5C	0.45	3.71	0.121293801
rep1	42	5C	0.71	3.89	0.18251928
rep2	42	5C	0.39	3.75	0.104
rep3	42	5C	0.22	3.18	0.06918239
rep4	42	5C	0.94	3.65	0.257534247
rep5	42	5C	1.02	3.06	0.333333333
rep6	42	5C	0.69	3.19	0.21630094
rep7	42	5C	0.77	2.94	0.261904762
rep8	42	5C	0.25	3.26	0.076687117
rep9	42	5C	1.23	3.28	0.375
rep10	42	5C	0.74	3.3	0.224242424
rep1	42	7.5C	0.67	3.88	0.172680412
rep2	42	7.5C	0.7	2.91	0.240549828
rep3	42	7.5C	0.62	3.29	0.188449848
rep4	42	7.5C	0.25	4	0.0625
rep5	42	7.5C	0.91	3.61	0.252077562
rep6	42	7.5C	0.62	2.9	0.213793103
rep7	42	7.5C	0.69	3.46	0.199421965
rep8	42	7.5C	0.8	3.15	0.253968254
rep9	42	7.5C	0.65	2.94	0.221088435
rep10	42	7.5C	0.99	4.4	0.225
